ID,Cliente,Pagamento ,Forma
1,Leite,Pago, Á vista
2,Chica Pitanga,Pago, Á vista
3,Parraxaxá,Pendente,Parcelado
4,Spettus Steak House,Pago, Á vista
5,Beijupirá,Pago, Á vista
6,Entre Amigos o Bode,Pago, Á vista
7,Ponteio,Pendente,Parcelado
8,Capitão Gancho Pizzaria,Pago, Á vista
9,Restaurante Mustang,Pago, Á vista
10,Bar Restaurante Santa Cruz,Pendente,Parcelado
11,Portal do Derby Restaurante,Pago, Á vista
12,Bar e Restaurante União,Pago, Á vista
13,Paço Real,Pendente,Parcelado
14,Ponte nova,Pago, Á vista
15,Bode do Nô,Pago, Á vista
16,Oficina do Sabor,Pago, Á vista
17,Beijupirá Olinda,Pago, Á vista
18,Patrácia,Pago, Á vista
19,Bodega de Véio,Pendente,Parcelado
20,Patuá,Pago, Á vista
21,Olinda Art & Grill,Pendente,Parcelado
22,Empório Recife,Pago, Á vista
23,Pizzaria Atlântico,Pendente,Parcelado
24,Espaço Aberto,Pago, Á vista
25,Creperia de Olinda,Pendente,Parcelado
26,Brilho Puro,Pago, Á vista
27,Água Limpa,Pago, Á vista
28,Rápida,Pendente,Parcelado
29,EcoClean,Pago, Á vista
30,Santa Clara,Pendente,Parcelado
31,Ponto Limpo,Pago, Á vista
32,SuperClean,Pago, Á vista
33,Nova Vida,Pendente,Parcelado
34,Cheiro Bom,Pago, Á vista
35,Primavera,Pendente,Parcelado
36,Crystal Clean,Pago, Á vista
37,Roupas Limpas,Pendente,Parcelado
38,Sempre Limpa,Pago, Á vista
39,Brilho do Sol,Pendente,Parcelado
40,Limpeza Total,Pago, Á vista
