Cliente,Equipamento,Data do Reparo,Observações
Beijupirá,Fogão Industrial,18/01/2024,Substituição de queimador
Ponteio,Coifa,19/01/2024,Manutenção geral
Oficina do Sabor,Forno Industrial,01/02/2024,Troca de termostato
Spettus Steak House,Caldeira Industrial,21/03/2024,Limpeza e ajuste
Bar Restaurante Santa Cruz,Liquidificador Industrial,25/01/2024,Verificação de motor
Empório Recife,Chapa Bifeira,15/03/2024,Substituição de placa
Beijupirá Olinda,Fogão Industrial,22/01/2024,Ajuste de chama
Pizzaria Atlântico,Coifa,08/03/2024,Substituição de filtro
Bodega de Véio,Forno Industrial,24/01/2024,Reparo na câmara de calor
Patrácia,Caldeira Industrial,09/02/2024,Verificação de pressão
Chica Pitanga,Liquidificador Industrial,05/03/2024,Substituição de lâmina
Creperia de Olinda,Chapa Bifeira,20/02/2024,Reparo no termostato
Bode do Nô,Fogão Industrial,10/04/2024,Substituição de botões
Portal do Derby Restaurante,Coifa,29/05/2024,Troca de motor
Leite,Forno Industrial,15/07/2024,Ajuste de temperatura
Ponte nova,Caldeira Industrial,13/06/2024,Substituição de válvula
Entre Amigos o Bode,Liquidificador Industrial,06/03/2024,Ajuste de lâmina
Bar e Restaurante União,Chapa Bifeira,25/06/2024,Limpeza completa
Olinda Art & Grill,Fogão Industrial,27/03/2024,Substituição de acendedor
Spettus Steak House,Coifa,10/07/2024,Revisão do sistema
Patuá,Forno Industrial,23/04/2024,Troca de lâmpada
Beijupirá,Caldeira Industrial,08/02/2024,Reparo em termômetro
Leite,Liquidificador Industrial,17/07/2024,Substituição de botão
Oficina do Sabor,Chapa Bifeira,19/04/2024,Ajuste de temperatura
Pizzaria Atlântico,Fogão Industrial,06/02/2024,Troca de regulador
Creperia de Olinda,Coifa,05/04/2024,Substituição de motor
Empório Recife,Forno Industrial,14/06/2024,Ajuste no timer
Bodega de Véio,Caldeira Industrial,02/05/2024,Verificação de gás
Beijupirá Olinda,Liquidificador Industrial,26/02/2024,Troca de lâmina
Ponteio,Chapa Bifeira,13/05/2024,Substituição de resistor
Chica Pitanga,Fogão Industrial,11/03/2024,Limpeza de queimadores
Patrácia,Coifa,24/06/2024,Ajuste de ventilação
Bar Restaurante Santa Cruz,Forno Industrial,09/07/2024,Substituição de válvula
Patuá,Caldeira Industrial,07/05/2024,Reparo em bomba
Restaurante Mustang,Liquidificador Industrial,02/07/2024,Verificação de lâmina
Portal do Derby Restaurante,Chapa Bifeira,20/06/2024,Troca de termostato
Spettus Steak House,Fogão Industrial,09/04/2024,Ajuste de válvula
Ponte nova,Coifa,03/07/2024,Reparo em exaustor
Bar e Restaurante União,Forno Industrial,12/06/2024,Troca de módulo
Oficina do Sabor,Caldeira Industrial,01/07/2024,Ajuste de pressão
Leite,Liquidificador Industrial,16/07/2024,Ajuste de motor
Pizzaria Atlântico,Chapa Bifeira,12/03/2024,Substituição de placa
Bodega de Véio,Fogão Industrial,04/06/2024,Substituição de válvula
Chica Pitanga,Coifa,29/07/2024,Revisão completa
Beijupirá,Forno Industrial,26/06/2024,Substituição de
Patuá,Caldeira Industrial,16/05/2024,Limpeza e ajuste
Empório Recife,Liquidificador Industrial,04/07/2024,Troca de botão
Creperia de Olinda,Chapa Bifeira,11/06/2024,Ajuste de temperatura
Beijupirá Olinda,Fogão Industrial,22/04/2024,Ajuste de chama
Ponteio,Coifa,27/04/2024,Reparo em ventilação
Olinda Art & Grill,Forno Industrial,30/01/2024,Troca de lâmpada
Patrácia,Caldeira Industrial,17/05/2024,Ajuste de gás
Entre Amigos o Bode,Liquidificador Industrial,18/04/2024,Substituição de lâmina
Portal do Derby Restaurante,Chapa Bifeira,20/07/2024,Reparo em termostato
Leite,Fogão Industrial,24/04/2024,Limpeza de queimadores
Spettus Steak House,Coifa,22/05/2024,Substituição de motor
Bar Restaurante Santa Cruz,Forno Industrial,31/07/2024,Ajuste de termostato
Oficina do Sabor,Caldeira Industrial,19/06/2024,Reparo em válvula
Bodega de Véio,Liquidificador Industrial,28/06/2024,Verificação de motor
Pizzaria Atlântico,Chapa Bifeira,03/06/2024,Troca de placa
Chica Pitanga,Fogão Industrial,10/06/2024,Ajuste de regulador
Ponte nova,Coifa,25/04/2024,Manutenção do sistema
Bar e Restaurante União,Forno Industrial,01/06/2024,Substituição de painel
Beijupirá Olinda,Caldeira Industrial,07/02/2024,Ajuste de pressão
Patuá,Liquidificador Industrial,12/07/2024,Troca de lâmina
Empório Recife,Chapa Bifeira,22/07/2024,Ajuste de temperatura
Creperia de Olinda,Fogão Industrial,16/04/2024,Substituição de válvula
Spettus Steak House,Coifa,08/04/2024,Revisão de filtro
Olinda Art & Grill,Forno Industrial,23/07/2024,Troca de lâmpada
Beijupirá,Caldeira Industrial,11/04/2024,Ajuste de gás
Pizzaria Atlântico,Liquidificador Industrial,17/01/2024,Substituição de lâmina
Ponteio,Chapa Bifeira,05/02/2024,Reparo em termostato
Patrácia,Fogão Industrial,14/05/2024,Substituição de queimadores
Bar Restaurante Santa Cruz,Coifa,08/05/2024,Reparo em ventilação
Oficina do Sabor,Forno Industrial,30/06/2024,Ajuste de painel
Patuá,Caldeira Industrial,03/05/2024,Limpeza e ajuste
Entre Amigos o Bode,Liquidificador Industrial,22/06/2024,Verificação de lâmina
Portal do Derby Restaurante,Chapa Bifeira,29/06/2024,Substituição de placa
Creperia de Olinda,Fogão Industrial,06/06/2024,Ajuste de válvula
Chica Pitanga,Coifa,12/05/2024,Manutenção completa
Leite,Forno Industrial,21/06/2024,Ajuste de termostato
Bodega de Véio,Caldeira Industrial,02/06/2024,Substituição de válvula
Empório Recife,Liquidificador Industrial,28/05/2024,Troca de lâmina
Beijupirá Olinda,Chapa Bifeira,14/06/2024,Ajuste de temperatura
Ponte nova,Fogão Industrial,26/07/2024,Substituição de botões
Pizzaria Atlântico,Coifa,25/03/2024,Revisão e limpeza
Brilho Puro,Lavadora Industrial,01/08/2024,Substituição de mangueira
Nova Vida,Secadora Industrial,21/03/2024,Ajuste na ventilação
Crystal Clean,Centrífuga Industrial,25/01/2024,Troca de rolamento
Sempre Limpa,Lavadora Industrial,15/03/2024,Verificação de motor
Santa Clara,Secadora Industrial,22/01/2024,Troca de correia
Roupas Limpas,Centrífuga Industrial,08/03/2024,Troca de correia
Água Limpa,Lavadora Industrial,07/08/2024,Substituição de bomba
EcoClean,Secadora Industrial,06/02/2024,Reparo na termostática
Cheiro Bom,Centrífuga Industrial,05/04/2024,Troca de selo
SuperClean,Lavadora Industrial,14/06/2024,Revisão de sistema
Primavera,Secadora Industrial,02/05/2024,Substituição de ventilador
Brilho do Sol,Centrífuga Industrial,12/08/2024,Ajuste na rotação
Limpeza Total,Lavadora Industrial,12/03/2024,Substituição de rolamento
Rápida,Secadora Industrial,04/06/2024,Reparo na resistência
Brilho Puro,Centrífuga Industrial,29/07/2024,Troca de correia
SuperClean,Lavadora Industrial,26/06/2024,Ajuste de programação
Ponto Limpo,Secadora Industrial,16/05/2024,Troca de correia
Crystal Clean,Centrífuga Industrial,09/07/2024,Revisão geral
Água Limpa,Lavadora Industrial,17/05/2024,Troca de termostato
Nova Vida,Secadora Industrial,18/04/2024,Ajuste de aquecimento
Cheiro Bom,Centrífuga Industrial,20/07/2024,Substituição de rolamento
Sempre Limpa,Lavadora Industrial,12/07/2024,Verificação de válvula
